
> my-v0-project@0.1.0 dev
> next dev

 ⚠ Port 3000 is in use, trying 3001 instead.
   ▲ Next.js 15.2.4
   - Local:        http://localhost:3001
   - Network:      http://10.64.129.82:3001

 ✓ Starting...
 ✓ Ready in 3.8s
 ○ Compiling / ...
 ✓ Compiled / in 13.8s (1045 modules)
 GET / 200 in 15128ms
 ✓ Compiled in 711ms (494 modules)
 ✓ Compiled in 989ms (494 modules)
 ✓ Compiled in 787ms (494 modules)
 ✓ Compiled in 818ms (494 modules)
 ✓ Compiled in 693ms (494 modules)
 ✓ Compiled in 705ms (494 modules)
 ✓ Compiled in 807ms (494 modules)
 ✓ Compiled in 875ms (494 modules)
 ✓ Compiled in 799ms (494 modules)
 ✓ Compiled in 791ms (494 modules)
 ✓ Compiled in 794ms (494 modules)
 ✓ Compiled in 992ms (494 modules)
 ✓ Compiled in 815ms (494 modules)
 ✓ Compiled in 705ms (494 modules)
 ✓ Compiled in 675ms (494 modules)
 ✓ Compiled in 950ms (494 modules)
 ✓ Compiled in 1559ms (494 modules)
 ✓ Compiled in 988ms (494 modules)
 ✓ Compiled in 420ms (494 modules)
 ✓ Compiled in 1104ms (494 modules)
 ✓ Compiled in 651ms (494 modules)
 ✓ Compiled in 565ms (494 modules)
 ✓ Compiled in 513ms (494 modules)
 ✓ Compiled in 549ms (494 modules)
 ✓ Compiled in 497ms (494 modules)
 ✓ Compiled in 551ms (494 modules)
 ✓ Compiled in 546ms (494 modules)
 ✓ Compiled in 471ms (494 modules)
 ✓ Compiled in 504ms (494 modules)
 ✓ Compiled in 660ms (494 modules)
 ✓ Compiled in 328ms (494 modules)
 ✓ Compiled in 578ms (494 modules)
 ✓ Compiled in 493ms (494 modules)
 ✓ Compiled in 440ms (494 modules)
 ✓ Compiled in 587ms (494 modules)
 ✓ Compiled in 454ms (494 modules)
 ✓ Compiled in 531ms (494 modules)
 ✓ Compiled in 596ms (494 modules)
 ✓ Compiled in 416ms (494 modules)
 ✓ Compiled in 614ms (494 modules)
 ✓ Compiled in 1309ms (494 modules)
 ✓ Compiled in 632ms (494 modules)
 ✓ Compiled in 582ms (494 modules)
 ✓ Compiled in 495ms (494 modules)
 ✓ Compiled in 716ms (494 modules)
 ✓ Compiled in 476ms (494 modules)
 ✓ Compiled in 511ms (494 modules)
 ✓ Compiled in 662ms (494 modules)
 ✓ Compiled in 414ms (494 modules)
 ✓ Compiled in 585ms (494 modules)
 ✓ Compiled in 609ms (494 modules)
 ✓ Compiled in 485ms (494 modules)
 ✓ Compiled in 500ms (494 modules)
 ✓ Compiled in 530ms (494 modules)
 ✓ Compiled in 628ms (494 modules)
 ✓ Compiled in 888ms (494 modules)
 ✓ Compiled in 604ms (494 modules)
 ✓ Compiled in 608ms (494 modules)
 ✓ Compiled in 486ms (494 modules)
 ✓ Compiled in 547ms (494 modules)
 ✓ Compiled in 551ms (494 modules)
 ✓ Compiled in 1206ms (494 modules)
 ✓ Compiled in 597ms (494 modules)
 ✓ Compiled in 454ms (494 modules)
 ✓ Compiled in 752ms (494 modules)
 ✓ Compiled in 788ms (494 modules)
 ✓ Compiled in 416ms (494 modules)
 ✓ Compiled in 610ms (494 modules)
 ✓ Compiled in 483ms (494 modules)
 ✓ Compiled in 473ms (494 modules)
 ✓ Compiled in 534ms (494 modules)
 ✓ Compiled in 483ms (494 modules)
 ✓ Compiled in 539ms (494 modules)
 ✓ Compiled in 559ms (494 modules)
 ✓ Compiled in 387ms (494 modules)
 ✓ Compiled in 703ms (494 modules)
 ✓ Compiled in 894ms (494 modules)
 ✓ Compiled in 890ms (494 modules)
 ✓ Compiled in 735ms (494 modules)
 ✓ Compiled in 770ms (494 modules)
 ✓ Compiled in 925ms (494 modules)
 ✓ Compiled in 782ms (494 modules)
 ✓ Compiled in 1297ms (494 modules)
 ✓ Compiled in 920ms (494 modules)
 ✓ Compiled in 1283ms (494 modules)
 ✓ Compiled in 1287ms (494 modules)
 ✓ Compiled in 803ms (494 modules)
 ✓ Compiled in 524ms (494 modules)
 ✓ Compiled in 665ms (494 modules)
 ✓ Compiled in 508ms (494 modules)
 ✓ Compiled in 450ms (494 modules)
 ✓ Compiled in 555ms (494 modules)
 ✓ Compiled in 410ms (494 modules)
 ✓ Compiled in 563ms (494 modules)
 ✓ Compiled in 467ms (494 modules)
 ✓ Compiled in 442ms (494 modules)
 ✓ Compiled in 620ms (494 modules)
 ✓ Compiled in 429ms (494 modules)
 ✓ Compiled in 493ms (494 modules)
 ✓ Compiled in 512ms (494 modules)
 ✓ Compiled in 473ms (494 modules)
 ✓ Compiled in 606ms (494 modules)
 ✓ Compiled in 581ms (494 modules)
 ✓ Compiled in 1345ms (494 modules)
 ✓ Compiled in 542ms (494 modules)
 ✓ Compiled in 534ms (494 modules)
 ✓ Compiled in 679ms (494 modules)
 ✓ Compiled in 496ms (494 modules)
 ✓ Compiled in 483ms (494 modules)
 ✓ Compiled in 619ms (494 modules)
 ✓ Compiled in 576ms (494 modules)
 ✓ Compiled in 401ms (494 modules)
 ✓ Compiled in 605ms (494 modules)
 ✓ Compiled in 527ms (494 modules)
 ✓ Compiled in 513ms (494 modules)
 ✓ Compiled in 449ms (494 modules)
 ✓ Compiled in 558ms (494 modules)
 ✓ Compiled in 380ms (494 modules)
 ✓ Compiled in 603ms (494 modules)
 ✓ Compiled in 420ms (494 modules)
 ✓ Compiled in 567ms (494 modules)
 ✓ Compiled in 609ms (494 modules)
 ✓ Compiled in 493ms (494 modules)
 ✓ Compiled in 691ms (494 modules)
 ✓ Compiled in 864ms (494 modules)
 ✓ Compiled in 661ms (494 modules)
 ✓ Compiled in 676ms (494 modules)
 ✓ Compiled in 414ms (494 modules)
 ✓ Compiled in 592ms (494 modules)
 ✓ Compiled in 490ms (494 modules)
 ✓ Compiled in 468ms (494 modules)
 ✓ Compiled in 639ms (494 modules)
 ✓ Compiled in 389ms (494 modules)
 ✓ Compiled in 530ms (494 modules)
 ✓ Compiled in 585ms (494 modules)
 ✓ Compiled in 419ms (494 modules)
 ✓ Compiled in 552ms (494 modules)
 ✓ Compiled in 388ms (494 modules)
 ✓ Compiled in 561ms (494 modules)
 ✓ Compiled in 523ms (494 modules)
 ✓ Compiled in 402ms (494 modules)
 ✓ Compiled in 605ms (494 modules)
 ✓ Compiled in 562ms (494 modules)
 ✓ Compiled in 429ms (494 modules)
 ✓ Compiled in 763ms (494 modules)
 ✓ Compiled in 1318ms (494 modules)
 ✓ Compiled in 808ms (494 modules)
 ✓ Compiled in 549ms (494 modules)
 ✓ Compiled in 569ms (494 modules)
 ✓ Compiled in 519ms (494 modules)
 ✓ Compiled in 419ms (494 modules)
 ✓ Compiled in 593ms (494 modules)
 ✓ Compiled in 475ms (494 modules)
 ✓ Compiled in 541ms (494 modules)
 ✓ Compiled in 560ms (494 modules)
 ✓ Compiled in 401ms (494 modules)
 ✓ Compiled in 603ms (494 modules)
 ✓ Compiled in 515ms (494 modules)
 ✓ Compiled in 370ms (494 modules)
 ✓ Compiled in 564ms (494 modules)
 ✓ Compiled in 402ms (494 modules)
 ✓ Compiled in 568ms (494 modules)
 ✓ Compiled in 602ms (494 modules)
 ✓ Compiled in 415ms (494 modules)
 ✓ Compiled in 614ms (494 modules)
 ✓ Compiled in 566ms (494 modules)
 ✓ Compiled in 1132ms (494 modules)
 ✓ Compiled in 490ms (494 modules)
 ✓ Compiled in 595ms (494 modules)
 ✓ Compiled in 684ms (494 modules)
 ✓ Compiled in 490ms (494 modules)
 ✓ Compiled in 498ms (494 modules)
 ✓ Compiled in 529ms (494 modules)
 ✓ Compiled in 475ms (494 modules)
 ✓ Compiled in 551ms (494 modules)
 ✓ Compiled in 565ms (494 modules)
 ✓ Compiled in 467ms (494 modules)
 ✓ Compiled in 562ms (494 modules)
 ✓ Compiled in 530ms (494 modules)
 ✓ Compiled in 435ms (494 modules)
 ✓ Compiled in 592ms (494 modules)
 ✓ Compiled in 397ms (494 modules)
 ✓ Compiled in 567ms (494 modules)
 ✓ Compiled in 531ms (494 modules)
 ✓ Compiled in 471ms (494 modules)
 ✓ Compiled in 597ms (494 modules)
 ✓ Compiled in 506ms (494 modules)
 ✓ Compiled in 1118ms (494 modules)
 ✓ Compiled in 520ms (494 modules)
 ✓ Compiled in 587ms (494 modules)
 ✓ Compiled in 608ms (494 modules)
 ✓ Compiled in 480ms (494 modules)
 ✓ Compiled in 512ms (494 modules)
 ✓ Compiled in 500ms (494 modules)
 ✓ Compiled in 433ms (494 modules)
 ✓ Compiled in 602ms (494 modules)
 ✓ Compiled in 457ms (494 modules)
 ✓ Compiled in 578ms (494 modules)
 ✓ Compiled in 528ms (494 modules)
 ✓ Compiled in 473ms (494 modules)
 ✓ Compiled in 533ms (494 modules)
 ✓ Compiled in 485ms (494 modules)
 ✓ Compiled in 473ms (494 modules)
 ✓ Compiled in 613ms (494 modules)
 ✓ Compiled in 510ms (494 modules)
 ✓ Compiled in 473ms (494 modules)
 ✓ Compiled in 613ms (494 modules)
 ✓ Compiled in 692ms (494 modules)
 ✓ Compiled in 983ms (494 modules)
 ✓ Compiled in 499ms (494 modules)
 ✓ Compiled in 535ms (494 modules)
 ✓ Compiled in 690ms (494 modules)
 ✓ Compiled in 401ms (494 modules)
 ✓ Compiled in 566ms (494 modules)
 ✓ Compiled in 533ms (494 modules)
 ✓ Compiled in 412ms (494 modules)
 ✓ Compiled in 523ms (494 modules)
 ✓ Compiled in 478ms (494 modules)
 ✓ Compiled in 493ms (494 modules)
 ✓ Compiled in 599ms (494 modules)
 ✓ Compiled in 400ms (494 modules)
 ✓ Compiled in 600ms (494 modules)
 ✓ Compiled in 504ms (494 modules)
 ✓ Compiled in 425ms (494 modules)
 ✓ Compiled in 593ms (494 modules)
 ✓ Compiled in 459ms (494 modules)
 ✓ Compiled in 519ms (494 modules)
 ✓ Compiled in 494ms (494 modules)
 ✓ Compiled in 568ms (494 modules)
 ✓ Compiled in 992ms (494 modules)
 ✓ Compiled in 636ms (494 modules)
 ✓ Compiled in 496ms (494 modules)
 ✓ Compiled in 531ms (494 modules)
 ✓ Compiled in 644ms (494 modules)
 ✓ Compiled in 508ms (494 modules)
 ✓ Compiled in 482ms (494 modules)
 ✓ Compiled in 602ms (494 modules)
 ✓ Compiled in 412ms (494 modules)
 ✓ Compiled in 516ms (494 modules)
 ✓ Compiled in 598ms (494 modules)
 ✓ Compiled in 456ms (494 modules)
 ✓ Compiled in 490ms (494 modules)
 ✓ Compiled in 505ms (494 modules)
 ✓ Compiled in 426ms (494 modules)
 ✓ Compiled in 566ms (494 modules)
 ✓ Compiled in 395ms (494 modules)
 ✓ Compiled in 603ms (494 modules)
 ✓ Compiled in 639ms (494 modules)
 ✓ Compiled in 413ms (494 modules)
 ✓ Compiled in 598ms (494 modules)
 ✓ Compiled in 1048ms (494 modules)
 ✓ Compiled in 555ms (494 modules)
 ✓ Compiled in 513ms (494 modules)
 ✓ Compiled in 612ms (494 modules)
 ✓ Compiled in 542ms (494 modules)
 ✓ Compiled in 410ms (494 modules)
 ✓ Compiled in 608ms (494 modules)
 ✓ Compiled in 487ms (494 modules)
 ✓ Compiled in 460ms (494 modules)
 ✓ Compiled in 633ms (494 modules)
 ✓ Compiled in 501ms (494 modules)
 ✓ Compiled in 463ms (494 modules)
 ✓ Compiled in 546ms (494 modules)
 ✓ Compiled in 394ms (494 modules)
 ✓ Compiled in 603ms (494 modules)
 ✓ Compiled in 472ms (494 modules)
 ✓ Compiled in 431ms (494 modules)
 ✓ Compiled in 570ms (494 modules)
 ✓ Compiled in 409ms (494 modules)
 ✓ Compiled in 576ms (494 modules)
 ✓ Compiled in 722ms (494 modules)
 ✓ Compiled in 876ms (494 modules)
 ✓ Compiled in 547ms (494 modules)
 ✓ Compiled in 503ms (494 modules)
 ✓ Compiled in 635ms (494 modules)
 ✓ Compiled in 467ms (494 modules)
 ✓ Compiled in 507ms (494 modules)
 ✓ Compiled in 583ms (494 modules)
 ✓ Compiled in 381ms (494 modules)
 ✓ Compiled in 590ms (494 modules)
 ✓ Compiled in 491ms (494 modules)
 ✓ Compiled in 451ms (494 modules)
 ✓ Compiled in 581ms (494 modules)
 ✓ Compiled in 458ms (494 modules)
 ✓ Compiled in 543ms (494 modules)
 ✓ Compiled in 590ms (494 modules)
 ✓ Compiled in 384ms (494 modules)
 ✓ Compiled in 550ms (494 modules)
 ✓ Compiled in 520ms (494 modules)
 ✓ Compiled in 426ms (494 modules)
 ✓ Compiled in 604ms (494 modules)
 ✓ Compiled in 568ms (494 modules)
 ✓ Compiled in 1093ms (494 modules)
 ✓ Compiled in 513ms (494 modules)
 ✓ Compiled in 631ms (494 modules)
 ✓ Compiled in 534ms (494 modules)
 ✓ Compiled in 428ms (494 modules)
 ✓ Compiled in 604ms (494 modules)
 ✓ Compiled in 422ms (494 modules)
 ✓ Compiled in 528ms (494 modules)
 ✓ Compiled in 549ms (494 modules)
 ✓ Compiled in 493ms (494 modules)
 ✓ Compiled in 559ms (494 modules)
 ✓ Compiled in 534ms (494 modules)
 ✓ Compiled in 419ms (494 modules)
 ✓ Compiled in 581ms (494 modules)
 ✓ Compiled in 395ms (494 modules)
 ✓ Compiled in 574ms (494 modules)
 ✓ Compiled in 441ms (494 modules)
 ✓ Compiled in 490ms (494 modules)
 ✓ Compiled in 583ms (494 modules)
 ✓ Compiled in 401ms (494 modules)
 ✓ Compiled in 607ms (494 modules)
 ✓ Compiled in 1015ms (494 modules)
 ✓ Compiled in 678ms (494 modules)
 ✓ Compiled in 418ms (494 modules)
 ✓ Compiled in 599ms (494 modules)
 ✓ Compiled in 575ms (494 modules)
 ✓ Compiled in 411ms (494 modules)
 ✓ Compiled in 534ms (494 modules)
 ✓ Compiled in 563ms (494 modules)
 ✓ Compiled in 411ms (494 modules)
 ✓ Compiled in 592ms (494 modules)
 ✓ Compiled in 474ms (494 modules)
 ✓ Compiled in 515ms (494 modules)
 ✓ Compiled in 524ms (494 modules)
 ✓ Compiled in 415ms (494 modules)
 ✓ Compiled in 577ms (494 modules)
 ✓ Compiled in 455ms (494 modules)
 ✓ Compiled in 529ms (494 modules)
 ✓ Compiled in 581ms (494 modules)
 ✓ Compiled in 416ms (494 modules)
 ✓ Compiled in 598ms (494 modules)
 ✓ Compiled in 588ms (494 modules)
 ✓ Compiled in 1028ms (494 modules)
 ✓ Compiled in 467ms (494 modules)
 ✓ Compiled in 596ms (494 modules)
 ✓ Compiled in 610ms (494 modules)
 ✓ Compiled in 425ms (494 modules)
 ✓ Compiled in 578ms (494 modules)
 ✓ Compiled in 503ms (494 modules)
 ✓ Compiled in 497ms (494 modules)
 ✓ Compiled in 596ms (494 modules)
 ✓ Compiled in 386ms (494 modules)
 ✓ Compiled in 592ms (494 modules)
 ✓ Compiled in 500ms (494 modules)
 ✓ Compiled in 414ms (494 modules)
 ✓ Compiled in 577ms (494 modules)
 ✓ Compiled in 420ms (494 modules)
 ✓ Compiled in 551ms (494 modules)
 ✓ Compiled in 460ms (494 modules)
 ✓ Compiled in 422ms (494 modules)
 ✓ Compiled in 603ms (494 modules)
 ✓ Compiled in 408ms (494 modules)
 ✓ Compiled in 580ms (494 modules)
 ✓ Compiled in 1122ms (494 modules)
 ✓ Compiled in 671ms (494 modules)
 ✓ Compiled in 487ms (494 modules)
 ✓ Compiled in 530ms (494 modules)
 ✓ Compiled in 578ms (494 modules)
 ✓ Compiled in 490ms (494 modules)
 ✓ Compiled in 499ms (494 modules)
 ✓ Compiled in 521ms (494 modules)
 ✓ Compiled in 480ms (494 modules)
 ✓ Compiled in 539ms (494 modules)
 ✓ Compiled in 509ms (494 modules)
 ✓ Compiled in 457ms (494 modules)
 ✓ Compiled in 662ms (494 modules)
 ✓ Compiled in 468ms (494 modules)
 ✓ Compiled in 476ms (494 modules)
 ✓ Compiled in 550ms (494 modules)
 ✓ Compiled in 410ms (494 modules)
 ✓ Compiled in 657ms (494 modules)
 ✓ Compiled in 439ms (494 modules)
 ✓ Compiled in 528ms (494 modules)
 ✓ Compiled in 634ms (494 modules)
 ✓ Compiled in 1026ms (494 modules)
 ✓ Compiled in 592ms (494 modules)
 ✓ Compiled in 508ms (494 modules)
 ✓ Compiled in 619ms (494 modules)
 ✓ Compiled in 569ms (494 modules)
 ✓ Compiled in 471ms (494 modules)
 ✓ Compiled in 550ms (494 modules)
 ✓ Compiled in 557ms (494 modules)
 ✓ Compiled in 420ms (494 modules)
 ✓ Compiled in 664ms (494 modules)
 ✓ Compiled in 497ms (494 modules)
 ✓ Compiled in 455ms (494 modules)
 ✓ Compiled in 614ms (494 modules)
 ✓ Compiled in 529ms (494 modules)
 ✓ Compiled in 409ms (494 modules)
 ✓ Compiled in 647ms (494 modules)
 ✓ Compiled in 429ms (494 modules)
 ✓ Compiled in 496ms (494 modules)
 ✓ Compiled in 608ms (494 modules)
 ✓ Compiled in 397ms (494 modules)
 ✓ Compiled in 689ms (494 modules)
 ✓ Compiled in 1201ms (494 modules)
 ✓ Compiled in 522ms (494 modules)
 ✓ Compiled in 504ms (494 modules)
 ✓ Compiled in 788ms (494 modules)
 ✓ Compiled in 477ms (494 modules)
 ✓ Compiled in 499ms (494 modules)
 ✓ Compiled in 614ms (494 modules)
 ✓ Compiled in 399ms (494 modules)
 ✓ Compiled in 586ms (494 modules)
 ✓ Compiled in 485ms (494 modules)
 ✓ Compiled in 456ms (494 modules)
 ✓ Compiled in 640ms (494 modules)
 ✓ Compiled in 484ms (494 modules)
 ✓ Compiled in 463ms (494 modules)
 ✓ Compiled in 583ms (494 modules)
 ✓ Compiled in 433ms (494 modules)
 ✓ Compiled in 533ms (494 modules)
 ✓ Compiled in 549ms (494 modules)
 ✓ Compiled in 471ms (494 modules)
 ✓ Compiled in 609ms (494 modules)
 ✓ Compiled in 487ms (494 modules)
 ✓ Compiled in 1592ms (494 modules)
 ✓ Compiled in 1381ms (494 modules)
 ✓ Compiled in 1420ms (494 modules)
 ✓ Compiled in 1078ms (494 modules)
 ✓ Compiled in 1019ms (494 modules)
 ✓ Compiled in 1030ms (494 modules)
 ✓ Compiled in 1275ms (494 modules)
 ✓ Compiled in 1206ms (494 modules)
 ✓ Compiled in 1273ms (494 modules)
 ✓ Compiled in 913ms (494 modules)
 ✓ Compiled in 826ms (494 modules)
 ✓ Compiled in 791ms (494 modules)
 ✓ Compiled in 1087ms (494 modules)
 ✓ Compiled in 994ms (494 modules)
 ✓ Compiled in 1198ms (494 modules)
 ✓ Compiled in 1314ms (494 modules)
 ✓ Compiled in 1011ms (494 modules)
 ✓ Compiled in 894ms (494 modules)
 ✓ Compiled in 1010ms (494 modules)
